respondent_id,submitted,Tutorial Class,Degree,Programming Experience,Experience in Python,Used Jupyter Notebooks,Other Programming Languages Competency,SQL Competency,Relational Databases Competency
38,2019-03-06 10:48:03 UTC,"Friday - 12pm to 2pm, in SIT Lab 115.",Bachelor of Advanced Computing (Computational Data Science) and Bachelor of Commerce (Finance). I am in the 2nd year of my degree.,1,Have written complex Python programs already.,Yes,"Java,Visual Basic",Written some SQL queries already.,"Microsoft Access,SQLite"
39,2019-03-06 10:18:18 UTC,Friday 10-12,"Advanced Science, Year 2",1,Written some simple Python programs,Yes,R,Never heard of SQL.,Other (answer as comment below)
40,2019-03-06 09:48:57 UTC,Thursday 2 p.m. to 3 p.m. in Gunn Seminar Room 648.,Second year of undergraduate.,1,Competent Python programmer (familiar with eg. functions and classes),Yes,"Matlab,R,Other (answer below in comment)",Written some SQL queries already.,
41,2019-03-06 09:47:08 UTC,Friday 12-2pm,Bachelor of advanced computing. 2nd year.,1,Competent Python programmer (familiar with eg. functions and classes),No,Java,"Heard of it, but never used it.",Microsoft Access
42,2019-03-06 08:02:47 UTC,"STAT2011, DATA2001, QBUS2810, QBUS3310",YEAR2,1,Written some simple Python programs,Yes,Javascript/ECMAScript,Can already create tables and write complex SQL queries.,Microsoft Access
43,2019-03-06 07:55:16 UTC,Friday 10-12pm,Bachelor of Science,0.5,Written some simple Python programs,No,R,"Heard of it, but never used it.",Microsoft Access
44,2019-03-06 07:19:33 UTC,Friday 4pm - 6pm SIT lab 115,Bachelor of Science (Computer Science),2,Competent Python programmer (familiar with eg. functions and classes),Yes,"Java,Javascript/ECMAScript",Can already create tables and write complex SQL queries.,"MongoDB,PostgreSQL"
45,2019-03-06 06:23:53 UTC,F10A,I am a second year student majoring in data science under bachelor of science.,1,Written some simple Python programs,No,R,Never heard of SQL.,Microsoft Access
46,2019-03-06 06:22:17 UTC,"F14A, Friday 2-4pm",B Advanced Computing 1st year,0.5,Competent Python programmer (familiar with eg. functions and classes),No,Java,Written some SQL queries already.,
47,2019-03-06 06:07:09 UTC,DATA2901 10AM-12PM,Bachelor of Computer Science and Technology 4th year.,3,Competent Python programmer (familiar with eg. functions and classes),Yes,"C,C++,Java",Can already create tables and write complex SQL queries.,"MySQL,PostgreSQL,SQLite"
48,2019-03-06 05:43:10 UTC,F10A,"Bachelor of Advanced Computing and Bachelor of Commerce, second year.",1,Competent Python programmer (familiar with eg. functions and classes),No,Java,"Heard of it, but never used it.",
